content,title,time
"10月12日至15日，中国国际大学生创新大赛（2025）总决赛现场赛在郑州大学举行。深圳职业技术大学（以下简称“深职大”）4个项目入围现场赛，经过激烈角逐，最终斩获金奖2项和银奖2项，继续位列全国职业院校历年金奖榜总数首位。
本次大赛中，深职大获奖项目实现高教主赛道（本科生创意组、创业组）、“青年红色筑梦之旅”赛道、职教赛道全覆盖，标志学校从“单赛道突破”走向“多赛道协同”，以“学生主导+产业需求导向”的差异化策略，在科研资源不占优的情况下“以质取胜、特色突围”，成为广东高校创新教育的典范。

“膜力无限”项目。
其中，“膜力无限”项目由专科生团队跨级挑战本科赛道，凭借扎实技术功底和市场开拓，勇夺高教主赛道创业组金奖，成为全场瞩目的“黑马”。该项目攻克“多模组联动清洁”“自适应稳态贴合”等核心技术，设备可90秒完成贴膜，完美率达99%。目前，产品已出口19个国家/地区600余台，2024年6月至今营收超3600万元，引领全球无人化手机贴膜行业。

“控域无界”项目。
“控域无界”项目聚焦智能制造领域控制器研发，以小组第一的绝对优势摘取职教赛道金奖，彰显学校在职业教育领域的创新引领力。

“灵犀智控”项目。

“心连芯”项目。
银奖项目“灵犀智控”研发的灵犀头控仪是一款专为肢体残障人士设计的智能头控鼠标，展现出深职学子精益求精的专业态度和对肢残人士的关爱。银奖项目“心连芯”通过自研改性碳纳米管/碳纤维等技术，成功开发“心芯相连”导电胶专利产品，攻克了国产芯片封装连接材料导热性、导电性与粘接稳定性差的核心难题。
本届大赛由教育部等12个部委共同主办，共吸引来自161个国家和地区、5673所学校、619万个项目、2443万人次参赛，是全球规模最大、规格最高的大学生创新创业赛事。
深职大将以本次大赛为新起点，系统总结“以赛促教、以赛促学、以赛促创”经验，持续深化创新创业教育改革，完善“小而精、质为先”的人才培养模式，力争在更多高水平赛事中再创佳绩，为培养具有全球视野、创新能力和产业素养的高技能人才贡献更大力量。
工业中心（创新创业学院） 谭丽溪
",2金2银！深职学子闪耀中国国际大学生创新大赛！,2025-10-16
"
研讨会在同德楼1号会议室举行。
10月17日，职业学校文化素质教育“十五五”高质量发展研讨会在深圳职业技术大学举行。会议以“教育强国建设与职业学校文化素质教育的新使命”为主题，旨在推动新时期文化育人工作创新发展。文化素质教育领域专家学者、教育部职业院校文化素质教育指导委员会（以下简称教指委）各专委会主任委员、副主任委员单位、各成员单位负责人及全国职业院校代表等80 余人参加研讨。会议由深圳职业技术大学党委副书记、纪委书记何莉主持。
深圳职业技术大学党委副书记、校长许建领在致辞中表示，加强职业学校文化素质教育是落实立德树人根本任务的重要举措。深职大将充分发挥教指委主任委员单位作用，与各成员单位携手推进文化素质教育高质量发展。
专家报告环节，厦门大学原副校长、中国高等教育学会副会长、教育部高等学校专业设置与教学指导委员会副主任邬大光教授作题为“新时代的文化素质教育——兼论职业院校的路径选择”的报告。他回顾了文化素质教育的历史、剖析了文化素质教育的困境，为谋划未来文化素质教育发展提供了重要思路与方向参考。他表示，工业化时代的高等教育主要是以专业教育为主，人工智能时代的高等教育要转向人文与科技的结合。过去的文化素质教育以专业的形式呈现，而未来的文化素质教育将呈现在大学的所有活动中。
中国职业教育学会“数字化工作委员会”副秘书长、全国高职校联席会议“数字化工作专委会”秘书长、领航未来“微知库”创始人姜涛深入探讨了新时代背景下“通用职业能力与素质”人才培养面临的新挑战与应对策略。他提出，培养学生超越特定专业的通用能力和职业素质，是应对产业变革、支撑国家战略和促进个人终身发展的基石。他表示，要通过产教融合构建项目导向的人才培养模式，以真实产业项目驱动学习，培养能适应未来社会发展的德技并修的高素质技术技能人才。
许建领以“科技教育与人文教育协同发展，塑造职业学校卓越校园文化”为题，从职业学校文化建设的重大意义、现实挑战、发展经验和未来路径四个方面，分享了深职大的思考和实践。他提出，面向未来，要聚焦职业教育精神寻根、产业文化融合发展、数字文明转型升级、国际品牌营造推广等四大核心路径，推动文化建设从“融入”到“融活”、从“嵌入”到“共生”、从“理念”到“赋能”、从“跟跑”到“领跑”的转型升级，让文化成为推动学校高质量发展的强大引擎。

与会代表参观校园。
会议期间，与会代表深入探讨了“十五五”时期职业学校文化素质教育的发展路径。会议认为，要坚定文化素质教育正确方向，以习近平文化思想为引领，将社会主义核心价值观融入教育教学全过程；要突出职业教育特色，深化产教融合，将企业文化、产业文化融入育人实践；要丰富文化素质教育内涵，推动数字化转型，打造文化素质教育品牌名片。
会议明确了“十五五”期间教指委的五大工作重点：一是深化体系构建，打造“大中小学一体化”育人生态；二是提升综合素养，强化研究咨询服务能力；三是坚持多元融合，拓展文化素质教育平台阵地；四是加速数字转型，创新职业学校文化素质教育手段；五是增强文化赋能，助力中国职业教育走出去。

与会代表深入探讨了“十五五”时期职业学校文化素质教育的发展路径。
本次研讨会由教育部职业院校文化素质教育指导委员会主办，深圳职业技术大学承办。会议还设置了专题交流环节，八个专委会围绕国际文化交流、劳动教育、校园文化建设、管理育人、心理健康教育、文化育人、美育、教师发展等专题进行了深入研讨。
（宣传部）",职业学校文化素质教育“十五五”高质量发展研讨会在我校举行,2025-10-17
"
9月4日至9日，世界职业院校技能大赛总决赛人工智能赛道争夺赛在北京航空航天大学沙河校区成功举办。本届大赛以“技炫青春，能创未来”为主题，首次设立人工智能赛道，吸引了来自全国30个省区市的1500余名师生参与。
我校参赛项目为“A1+艺术点燃大学生活”，未来技术学院4名本科生张洛华、张家艳、罗志江、黄学明在孙敬玺、王伟老师的指导下，将技术实践与艺术创意相融合，凭借扎实的专业技能、出色的临场发挥和富有创新性的解决方案，荣获小组第一、夺得职业本科组金奖，充分展现了深职大学子跨学科融合的综合素养与勇于创新的精神风貌。
该赛项紧密结合人工智能岗位实际需求，全面考查选手的专业知识、团队协作与创新实践能力。此次获奖不仅体现了我校“以赛促教、赛教融合”育人理念的成效，也是未来技术学院课程项目推动多学科交叉融合、全面提升学生综合素质的重要成果，彰显了学院在培养创新型、复合型人才方面的持续探索与成功实践。
（未来技术学院）",未来技术学院学子荣获2025年世界职业院校技能大赛争夺赛人工智能赛道金奖,2025-09-15
"
9月12日，2025年世界职业院校技能大赛新一代信息技术赛道高职组总决赛在江苏常州圆满落幕。由梁广民、王隆杰两位老师指导，陈思琪、刘文峰、郑智程、唐辉四名同学组成的参赛队伍，凭借扎实的专业功底、出色的技术创新能力与高效的团队协作配合，在全国28省（自治区、直辖市）的251支代表队、1000余名选手中脱颖而出，成功斩获该赛道金奖。
比赛现场，陈思琪、刘文峰、郑智程、唐辉四名学子沉着默契，面对复杂真实场景，快速分析需求、精准设计智能方案，灵活运用技术完成设备配置与系统搭建，尽显过硬专业能力与职业素养。其方案因贴合产业实际、创新性突出，获裁判团队高度认可。历经两天激烈角逐，我校代表队成功摘得金奖，站上世校赛最高领奖台。
2025年世界职业院校技能大赛新一代信息技术赛道高职组总决赛，由教育部联合相关国家部委、行业组织主办，是职业教育国际顶级赛事。本届赛事规模、参赛范围、技术前沿性均创历届新高。大赛聚焦人工智能、新一代信息技术领域，对接国家培育新质生产力战略，对选手技术应用、创新思维及实战操作能力要求极高。赛制采用“实战导向”，选手需结合一线岗位需求，独立完成方案设计、设备选型及全流程落地，全方位检验综合素养。
（电信学院 程越）",电信学子荣获2025年世界职业院校技能大赛新一代信息技术赛道金奖,2025-09-17
"
近日，2025年世界职业院校技能大赛争夺赛落下帷幕，我校斩获7金6银8铜，“智能装备应用”“商贸”“人工智能”“轨道交通运输”“汽车制造与维修”“林业”“新一代信息技术”等七大赛道摘金，全面展现深职学子扎实的专业技能、出色的创新能力和精益求精的工匠精神。
其中，建筑工程学院“园林景观设计与施工”团队表现尤为亮眼，以小组第一、总排名第二的成绩荣获金奖。该赛项吸引全国85支队伍同台竞技，不仅考核传统施工技能，更深度融合人工智能编程、智能设备研发等创新内容。由陈录、张展宁、李柱辉、黄立鹏四位同学组成的团队，在刘学军、徐德秀老师指导下，历经九个月高强度训练，每日训练超八小时。比赛中，团队灵活运用生态修复理念、数字化建模及智能灌溉等前沿技术，其作品在技术创新、工艺精度和完成度上均获专家高度认可。
据悉，世界职业院校技能大赛的前身是全国职业院校技能大赛，该赛事是由教育部牵头、联合国家部委和事业组织举办的一项公益性、国际性职业院校综合技能竞赛，自2008年以来已连续举办17届。
学校构建“校-市-省-国-世界”五级竞赛体系、推行“岗课赛证”综合育人，始终坚持“以赛促教、以赛促学、以赛促改”，将竞赛标准融入教学全过程，持续提升人才培养与产业需求的契合度。未来，学校将进一步深化教育教学改革，为培养更多高技能人才、高端技能人才和服务区域经济高质量发展注入新动能。
（教务处 李家璠）",我校学子闪耀世界职业院校技能大赛,2025-09-19
"

9月23日，中华人民共和国第三届职业技能大赛在河南郑州落下帷幕。我校医护学院2024级护理专业学生黄开泰，在杜艳丽老师的悉心指导下，代表广东省队参加世赛选拔项目——健康和社会照护赛项的激烈角逐。他凭借出色的英语表达能力、良好的沟通技巧、扎实的专业功底和灵活的现场应变能力，从全国30支参赛队伍中脱颖而出，荣获该赛项铜牌，成功入选国家集训队，实现了我校在该赛项奖牌“零的突破”。
健康和社会照护赛项紧密围绕民生需求，综合考察选手在医院、家庭、长期照护、日间照护四大场景下的综合能力。比赛采用个人赛制，要求选手在标准化病人的配合下，完成六个涵盖不同场景的照护案例。每个案例设置95分钟的高强度考核，包括20分钟照护计划制定、30分钟实际操作以及45分钟海报制作或反思报告撰写，全面检验选手的专业“硬技能”与沟通、共情等“软实力”。
(医护学院 彭晓)",医护学子获中华人民共和国第三届职业技能大赛健康和社会照护赛项（世赛项目）铜奖,2025-09-26
"9月27日，第二届“新标准背景下‘中文+职业技能’教育教学研讨会”在我校召开。本次研讨会由深圳职业技术大学与北京语言大学出版社、北京语言大学应用中文学院、北京工业职业技术学院和南京职业技术大学联合主办，山东商务职业学院、济南职业学院、《国际汉语教学研究》编辑部协办。

研讨会在留仙洞园区图书馆报告厅召开。
本次研讨会以教育部2023年出台的《职业中文能力等级标准》作为核心锚点，以《教育强国建设规划纲要（2024—2035年）》和中国特色高水平高职学校和专业建设计划（2025—2029年）为指引，聚焦“中文+职业技能”教育高质量发展的核心议题，涵盖人才培养模式创新、“职教出海”的实践挑战、教学资源建设以及数智赋能教育创新四大方向，系统探索了未来发展的新策略、新模式、新路径与新机制。
我校党委副书记、校长许建领，北京语言大学出版社党总支书记、董事长郝运分别致辞。许建领提出，本次研讨会是职业教育界践行习近平总书记构建人类命运共同体理念的具体行动，对于赋能“一带一路”高质量发展，彰显中文的语言价值与文化魅力、凝聚全球职教协同发展共识具有重要的现实意义，要聚焦《职业中文能力等级标准》《职业教育专业教学标准》，围绕“中文+职业技能”教育教学关键问题深入研讨，产出更多有价值的成果，倡议从事国际中文教育与职教教育的同仁们携手并肩，为企业海外属地用工培养更多既懂中文、又精技术的复合型人才，更好助力中国制造与中国标准走出去。
教育部中外语言交流合作中心教学与资源处副处长惠蕙出席本次会议。北京工业职业技术学院党委书记田红芳、南京工业职业技术大学党委书记谢永华，深圳职业技术大学国际教育学院院长、国际交流与合作处处长王冰峰，北语语言大学出版社总编辑、《国际汉语教学研究》主编陈维昌等分别作大会主旨报告。其中，王冰峰在主题报告中，围绕我校“‘中文+职业技能’人才培养模式创新”和深职国际化品牌建设的探索，分享了我校开展“中文+职业技能”的探索实践。在圆桌对话环节中，我校国际教育学院教研室主任王俊参加“师资队伍标准与能力建设”话题环节，针对“双师+”型教师与“中文+职业技能”的深度融合，进行了交流探讨。
本次会议为推动中文教育与职业技能深度融合、服务共建“一带一路”搭建了高层次交流平台，为加快建设教育强国，推动构建人类命运共同体注入了新的教育动能。参会代表近300人，来自国内外28个省、自治区、直辖市，涵盖56所高职院校、47所本科院校，海外孔子学院、越南等国中文教育机构也参与其中。
（国际教育学院 王 俊）",第二届“中文+职业技能”教育教学研讨会在我校召开,2025-09-28
"
许建领在留仙洞园区德业楼开讲“思政第一课”。
9月29日，学校党委副书记、校长许建领在留仙洞园区德业楼407课室为人工智能本科学院2025级大数据、计应专业新生讲授2025年秋季学期“思政第一课”。
课程开始，许建领以“九三阅兵”为引，瞬间点燃了同学们的热情。大家争相分享观后感：对“复制粘贴”式队列的惊叹，对强大国防力量的震撼，对祖国繁荣昌盛的赞美……种种情愫，最终都汇成油然而生、溢于言表的强烈自豪感。
随后，许建领从“历史之魂”“时代之卷”“青年担当”三个方面诠释了“以抗战精神之魂 答民族复兴之卷”的主题。他带领同学们回顾历史，从十四年艰苦卓绝的抗战历程中汲取伟大抗战精神的磅礴力量；洞察时代，在国内外形势与深圳范例中找准青春建功的奋斗坐标；指引未来，于时代浪潮中明确个人成长与民族复兴相结合的前进方向。
最后，许建领寄语新生，传承弘扬伟大抗战精神，以过硬本领迎接挑战，以坚韧内心沉淀人生，以团队力量成就事业，勇立时代潮头，勇担时代重任，勇创时代新篇！
（马克思主义学院 杨 凡/文 宣传部 张 雷/图）",赓续伟大抗战精神力量 谱写民族复兴时代华章,2025-09-30
"

学校在留仙洞园区体育场举行升国旗仪式。
为庆祝中华人民共和国成立76周年，弘扬爱国主义精神，10月1日清晨，我校在留仙洞园区体育场举行升国旗仪式。学校党委副书记、校长许建领出席升旗仪式。党政办、宣传部、学工部等职能部门领导，各学院党委（党总支）书记、副书记、辅导员和学生代表共800人参加仪式。

国旗护卫队队员们
清晨八时整，庄严的升旗仪式缓缓拉开序幕。英姿勃发的国旗护卫队队员们，身着整齐划一的笔挺礼服，迈着铿锵有力、坚定不移的步伐，神情肃穆地护送着五星红旗，稳步朝着旗杆的方向行进。当雄浑激昂的国歌奏响，五星红旗在清晨柔和而明亮的晨光中，缓缓地、庄重地升起。在这一瞬间，炽热的爱国情怀如汹涌的潮水，在每一个人的心间澎湃激荡。
学生代表黄学明在国旗下发言。他号召大家一起立下青春的誓言：把个人的成长与国家的需要、学校的培养紧紧结合起来。学习上，要珍惜课堂上的每一分钟，不断提高专业素养；实践中，要抓住每一次锻炼的机会，磨炼动手能力；生活里，要培养良好的习惯，锤炼坚韧的品格。用每一份努力，向祖国进行最深情的告白。
“青年若心怀星辰，国家便拥有无垠的苍穹；青年若敢闯敢试，国家便开辟崭新的航程；青年若体魄强健，国家便挺立不屈的脊梁；青年若思想独立，国家便奠定理性的基石；青年若追求自由，国家便洋溢创造的活力；青年若砥砺奋进，国家便汇聚磅礴的能量。”学生代表带来配乐诗朗诵《青春中国说》，自信展示了当代青年对国家命运的深刻思考与炽热担当。他们用激昂且富有感染力的语调，将青春的梦想与祖国的未来紧密相连，那昂扬的姿态、坚定的眼神，无不彰显着新时代青年蓬勃向上的精神风貌和勇立潮头的豪迈气概。

师生感受当下繁荣、展望美好未来。
在升旗仪式最后，全体师生齐唱《我和我的祖国》，悠扬歌声在广场久久回荡。每个音符都饱含对祖国的深情与自豪。旋律起伏间，师生与祖国历史同行，感受当下繁荣、展望美好未来，真切体会到与祖国血脉相连、荣辱与共。仪式后，大家表示将以更饱满热情、更坚定步伐迈向美好的明天，用青春汗水书写无愧时代的华章。
（校团委 刘凯维/文 宣传部 张雷 校融媒体中心 汪同和 李彦哲 钟雯玉/图）",学校举行庆祝中华人民共和国成立76周年升国旗仪式,2025-10-01
"会议在同德楼1号会议室举行。
10月12日，由深圳职业技术大学主办的职业教育学习成果国际互认学术会议在深圳成功举办。来自老挝、泰国、马来西亚、柬埔寨、加纳、津巴布韦等国家和地区的教育部官员、专家学者、院校领导及知名企业代表等60余人，围绕“构建开放、包容、协同的职业教育学习成果国际互认”议题展开深入研讨，共商人才培养大计，共绘技能融通蓝图。
深圳市人民政府外事办公室副主任钟嘉俊，深圳市教育局高教处处长刘志斌，老挝教育体育部高等教育司学务管理厅厅长Chaipat Lawsirirat，老挝教育体育部高等教育司办公室主任Syvanh PHON ASA，老挝万象中老友谊学校校长许顺宏，马来西亚家具总会会长邱曜仲，泰国朱拉隆功大学体育与运动科学学院院长查帕·劳西里拉，柬埔寨财经大学主管苏昂·萨沃恩，马来西亚拉曼大学理工学院院长吴俊贤，美国东北州立大学欧迈玛·拉西莉亚，塔吉克斯坦冶金学院艾民江，中智国际教育科技（北京）有限公司总经理段晓飞，数谱环球有限公司（香港）董事长梁定雄，江苏经贸职业技术学院校长王志凤，江苏农林职业技术学院副校长颜志明，江西环境工程职业学院副校长金志芳，深圳协议专家委员会主任孙善学教授，我校党委副书记、校长许建领等领导嘉宾出席会议。我校党委委员、机电工程学院院长梁召峰主持会议。
钟嘉俊在致辞中指出，构建职业教育学习成果国际互认体系是打造全球技能“通用护照”的“金钥匙”，是深圳以实际行动深度参与全球教育治理、服务“一带一路”倡议及构建人类命运共同体的生动实践。许建领作了题为《走高质量发展的职业教育国际化发展之路》的主旨报告，系统阐述了深圳职业技术大学围绕“数字化转型”为核心的“一核六边”高质量国际化发展路径与探索，并致力于推动“深圳协议”的研制与应用，为职业教育国际合作贡献“深职方案”。
孙善学详细解读了《职业教育学习成果国际互认方案》（即“深圳协议方案”），通过明确分级标准、构建课程体系、完善学分转换规则和质量保障机制，为职业教育学习成果提供了一把可衡量、可比较、可互认的“标尺”，为促进全球技能培养与融通提供了富有建设性的中国智慧与中国方案。动画制作、新能源汽车售后服务负责人分享了《方案》在具体职业领域的应用案例。
来自老挝教育体育部、泰国朱拉隆功大学、马来西亚家具总会、柬埔寨财经大学等国际机构的代表以及江苏经贸职业技术学院、江苏农林职业技术学院等国内兄弟院校的负责人，围绕职业教育国际合作、学习成果互认等议题分享了各自的探索与思考，并表达了对“深圳协议方案”的高度认同与合作期待。中智、华为、汇川技术、深信服科技等企业代表从企业视角阐述了对国际化技能人才的需求与期待，强调了职业教育学习成果互认对于保障人才质量、促进产教精准对接的重大价值。与会者一致认为，建立职业教育学习成果国际互认体系是一项具有开创性的事业，价值重大，需要各方凝聚智慧、通力协作，协同共进。
据悉，《职业教育学习成果国际互认方案》由深圳职业技术大学牵头，联合中国高水平职业院校深圳协议联盟共同研制，是全球首个职业教育学习成果国际互认系统性方案，目前已有40所学校，50余家企业参与，标志着我国在推动全球职业教育标准融通与职业教育学习成果互认领域迈出了关键一步。
与会期间，深圳职业技术大学、江苏农林职业技术学院与老挝万象中老友谊学校共同签署职业教育学习成果国际互认合作备忘录，标志着职业教育学习成果国际互认迈出实质性步伐。
（质保中心 张斌）",职业教育学习成果国际互认学术会议成功举办,2025-10-13
